Date	Incident Type	Applicant Name	Education Applicant	Number of Projects	Federal Share Obligated
2005-02-15	Severe Storm(s)	ANNA, VILLAGE OF	No	2	$14,597.16
2005-02-15	Severe Storm(s)	BOTKINS, VILLAGE OF	No	2	$14,655.52
2005-02-15	Severe Storm(s)	CYNTHIAN, TOWNSHIP OF	No	1	$5,657.68
2005-02-15	Severe Storm(s)	DINSMORE, TOWNSHIP OF	No	1	$2,610.30
2005-02-15	Severe Storm(s)	DOROTHY LOVE RETIREMENT COMMUNTIY	No	1	$10,974.60
2005-02-15	Severe Storm(s)	FORT LORAMIE, VILLAGE OF	No	3	$13,722.39
2005-02-15	Severe Storm(s)	FRANKLIN, TOWNSHIP OF	No	1	$9,716.44
2005-02-15	Severe Storm(s)	JACKSON CENTER, VILLAGE OF	No	2	$15,349.55
2005-02-15	Severe Storm(s)	JACKSON, TOWNSHIP OF	No	1	$11,861.81
2005-02-15	Severe Storm(s)	LEHMAN CATHOLIC HIGH SCHOOL	Yes	1	$974.07
2005-02-15	Severe Storm(s)	MCLEAN, TOWNSHIP OF	No	1	$1,314.84
2005-02-15	Severe Storm(s)	ORANGE, TOWNSHIP OF	No	2	$3,555.39
2005-02-15	Severe Storm(s)	PERRY, TOWNSHIP OF	No	2	$8,675.44
2005-02-15	Severe Storm(s)	PORT JEFFERSON, VILLAGE OF	No	1	$2,030.30
2005-02-15	Severe Storm(s)	RUSSIA, VILLAGE OF	No	1	$2,935.43
2005-02-15	Severe Storm(s)	SALEM, TOWNSHIP OF	No	1	$6,169.58
2005-02-15	Severe Storm(s)	SHELBY COUNTY EMERGENCY MANAGEMENT	No	1	$3,688.47
2005-02-15	Severe Storm(s)	SHELBY COUNTY ENGINEER	No	1	$76,102.79
2005-02-15	Severe Storm(s)	SHELBY COUNTY SEWER DISTRICT	No	2	$8,567.41
2005-02-15	Severe Storm(s)	SIDNEY, CITY OF	No	3	$147,936.39
2005-02-15	Severe Storm(s)	TURTLE CREEK, TOWNSHIP OF	No	1	$4,094.47
2005-02-15	Severe Storm(s)	VAN BUREN, TOWNSHIP OF	No	2	$5,899.20
2005-01-11	Snow	ANNA, VILLAGE OF	No	1	$4,083.61
2005-01-11	Snow	BOTKINS, VILLAGE OF	No	1	$3,255.60
2005-01-11	Snow	CYNTHIAN, TOWNSHIP OF	No	1	$1,528.60
2005-01-11	Snow	DINSMORE, TOWNSHIP OF	No	1	$2,017.76
2005-01-11	Snow	DOROTHY LOVE RETIREMENT COMMUNTIY	No	1	$8,048.36
2005-01-11	Snow	FORT LORAMIE, VILLAGE OF	No	1	$4,146.32
2005-01-11	Snow	JACKSON CENTER, VILLAGE OF	No	1	$7,924.75
2005-01-11	Snow	JACKSON, TOWNSHIP OF	No	1	$1,938.01
2005-01-11	Snow	LEHMAN CATHOLIC HIGH SCHOOL	Yes	1	$4,036.66
2005-01-11	Snow	LOCKINGTON, VILLAGE OF	No	1	$887.38
2005-01-11	Snow	LORAMIE, TOWNSHIP OF	No	1	$1,938.20
2005-01-11	Snow	MCLEAN, TOWNSHIP OF	No	1	$2,523.16
2005-01-11	Snow	ORANGE, TOWNSHIP OF	No	1	$4,990.87
2005-01-11	Snow	PERRY, TOWNSHIP OF	No	1	$3,791.69
2005-01-11	Snow	PORT JEFFERSON, VILLAGE OF	No	1	$989.87
2005-01-11	Snow	RUSSIA, VILLAGE OF	No	1	$2,818.92
2005-01-11	Snow	SALEM, TOWNSHIP OF	No	1	$1,058.58
2005-01-11	Snow	SHELBY COUNTY ENGINEER	No	1	$32,999.90
2005-01-11	Snow	SIDNEY, CITY OF	No	1	$30,906.95
2005-01-11	Snow	TURTLE CREEK, TOWNSHIP OF	No	1	$1,647.14
2005-01-11	Snow	VAN BUREN, TOWNSHIP OF	No	1	$2,950.79
