Date	Incident Type	Applicant Name	Education Applicant	Number of Projects	Federal Share Obligated
2006-12-29	Snow	ALDEN TOWNSHIP ROAD DISTRICT	No	1	$5,410.35
2006-12-29	Snow	ALGONQUIN TOWNSHIP ROAD DISTRICT	No	1	$18,995.26
2006-12-29	Snow	ALGONQUIN, VILLAGE OF	No	1	$29,097.62
2006-12-29	Snow	CARY, VILLAGE OF	No	1	$21,639.61
2006-12-29	Snow	CHEMUNG TOWNSHIP ROAD DISTRICT	No	1	$7,336.75
2006-12-29	Snow	COMMUNITY CONSOLIDATED SCHOOL DIST 158	Yes	1	$15,589.30
2006-12-29	Snow	CORAL TOWNSHIP ROAD DISTRICT	No	1	$11,209.69
2006-12-29	Snow	CRYSTAL LAKE, CITY OF	No	1	$51,883.77
2006-12-29	Snow	DUNHAM TOWNSHIP ROAD DISTRICT	No	1	$8,234.58
2006-12-29	Snow	GRAFTON TOWNSHIP ROAD DISTRICT	No	1	$6,805.01
2006-12-29	Snow	GREENWOOD (TOWNSHIP OF)	No	1	$9,652.68
2006-12-29	Snow	HARTLAND (TOWNSHIP OF)	No	1	$5,266.57
2006-12-29	Snow	HARVARD, CITY OF	No	1	$19,648.23
2006-12-29	Snow	HEBRON TOWNSHIP ROAD DISTRICT	No	1	$5,084.51
2006-12-29	Snow	HEBRON, VILLAGE OF	No	1	$4,882.77
2006-12-29	Snow	JOHNSBURG, VILLAGE OF	No	1	$7,313.11
2006-12-29	Snow	LAKE IN THE HILLS, VILLAGE OF	No	1	$19,527.57
2006-12-29	Snow	LAKEWOOD, VILLAGE OF	No	1	$4,424.26
2006-12-29	Snow	MARENGO, CITY OF	No	1	$16,905.73
2006-12-29	Snow	MARENGO TOWNSHIP ROAD DISTRICT	No	1	$9,287.86
2006-12-29	Snow	MARIAN CENTRAL CATHOLIC HIGH SCHOOL	Yes	1	$1,201.40
2006-12-29	Snow	MCCULLOM LAKE, VILLAGE OF	No	1	$1,475.32
2006-12-29	Snow	MCHENRY, CITY OF	No	1	$29,380.37
2006-12-29	Snow	MCHENRY COMMUNITY CONSOLIDATED SCHOOL DISTRICT 15	Yes	1	$3,926.96
2006-12-29	Snow	MC HENRY (COUNTY)	No	1	$10,663.40
2006-12-29	Snow	MCHENRY COUNTY DEPARTMENT OF TRANSPORTATION	No	1	$64,937.05
2006-12-29	Snow	MCHENRY TOWNSHIP ROAD DISTRICT	No	1	$23,242.23
2006-12-29	Snow	NUNDA TOWNSHIP ROAD DISTRICT	No	1	$16,939.83
2006-12-29	Snow	PRAIRIE GROVE, VILLAGE OF	No	1	$3,611.71
2006-12-29	Snow	RICHMOND TOWNSHIP ROAD DISTRICT	No	1	$5,341.21
2006-12-29	Snow	RILEY TOWNSHIP ROAD DISTRICT	No	1	$5,147.36
2006-12-29	Snow	SPRING GROVE, VILLAGE OF	No	1	$13,461.24
2006-12-29	Snow	ST PETER & PAUL PARISH	No	1	$835.38
2006-12-29	Snow	UNION, VILLAGE OF	No	1	$2,262.99
2006-12-29	Snow	WONDER LAKE VILLAGE OF	No	1	$12,450.48
2006-12-29	Snow	WOODSTOCK CHRISTIAN LIFE SERVICES	No	1	$2,933.09
2006-12-29	Snow	WOODSTOCK, CITY OF	No	1	$61,041.40
2006-12-29	Snow	WOODSTOCK COMM  UNIT SCHOOL DIST 200	Yes	1	$6,199.89
